order_id,order_date,product_line,units,order_value,country,fulfillment_center,carrier,promo_type,shipping_cost,delivery_days,promised_days,late_delivery,returned,return_reason
ORD000001,2025-05-26,Signature Hoodie,1,89.0,Australia,3PL_International,Passport_Global,none,18.2,3.8,9,False,True,fit_issue
ORD000002,2025-03-22,Cloud Sweatpants,2,132.6,United States,3PL_East,Carrier_A,influencer_drop,6.35,3.8,5,False,False,none
ORD000003,2025-06-09,Lounge Set,1,142.0,United States,3PL_West,Carrier_A,none,5.72,3.7,5,False,True,changed_mind
ORD000004,2025-05-10,Cloud Sweatpants,1,78.0,Canada,3PL_International,Passport_Global,none,17.75,5.1,9,False,False,none
ORD000005,2025-01-19,Cloud Sweatpants,1,70.2,United States,3PL_Central,Carrier_C,email_drop,5.41,2.7,5,False,False,none
ORD000006,2025-06-27,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_C,none,4.88,5.9,5,True,False,none
ORD000007,2025-05-23,Signature Hoodie,1,89.0,United States,3PL_East,Carrier_A,none,5.52,3.9,5,False,False,none
ORD000008,2025-05-28,Weighted Tee,4,216.0,United States,3PL_West,Carrier_B,none,9.21,4.2,5,False,False,none
ORD000009,2025-01-26,Signature Hoodie,3,213.6,Canada,3PL_International,Passport_Global,product_launch,19.46,9.0,9,False,False,none
ORD000010,2025-03-24,Signature Hoodie,2,142.4,Germany,3PL_International,Passport_Global,holiday_sale,19.2,6.9,9,False,False,none
ORD000011,2025-03-12,Cloud Sweatpants,1,78.0,United States,3PL_East,Carrier_C,none,3.88,5.0,5,False,False,none
ORD000012,2025-06-20,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_D,none,8.21,4.3,5,False,False,none
ORD000013,2025-04-30,Signature Hoodie,4,356.0,United States,3PL_West,Carrier_A,none,7.89,3.4,5,False,False,none
ORD000014,2025-06-04,Signature Hoodie,3,240.3,United States,3PL_East,Carrier_C,product_launch,6.34,4.9,5,False,False,none
ORD000015,2025-03-23,Cloud Sweatpants,3,234.0,United States,3PL_West,Carrier_B,none,7.32,2.7,5,False,False,none
ORD000016,2025-02-15,Cloud Sweatpants,2,156.0,United States,3PL_East,Carrier_C,none,6.75,3.3,5,False,False,none
ORD000017,2025-04-12,Lounge Set,1,127.8,United States,3PL_West,Carrier_B,product_launch,5.19,5.6,5,True,False,none
ORD000018,2025-01-13,Signature Hoodie,2,178.0,United States,3PL_East,Carrier_B,none,7.22,3.6,5,False,False,none
ORD000019,2025-06-04,Weighted Tee,2,108.0,United States,3PL_West,Carrier_C,none,6.39,5.0,5,False,False,none
ORD000020,2025-04-27,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_C,none,5.27,4.3,5,False,False,none
ORD000021,2025-05-23,Signature Hoodie,1,89.0,Canada,3PL_International,Passport_Global,none,17.72,3.5,9,False,False,none
ORD000022,2025-03-10,Weighted Tee,1,54.0,United States,3PL_West,Carrier_B,none,6.8,4.4,5,False,False,none
ORD000023,2025-06-26,Lounge Set,4,454.4,United States,3PL_West,Carrier_D,product_launch,10.36,4.5,5,False,True,quality_issue
