ticket_id,order_id,created_date,category,channel,agent,first_response_hours,resolution_hours,sla_hours,sla_breached,sentiment,status
TKT000001,ORD000007,2025-05-31,product_question,email,Layla,23.1,30.9,48,False,neutral,closed
TKT000002,ORD000009,2025-01-27,address_change,chat,Zehra,16.5,37.6,48,False,neutral,pending
TKT000003,ORD000012,2025-06-23,where_is_my_order,email,Aylin,19.7,47.1,48,False,positive,closed
TKT000004,ORD000013,2025-05-03,return_request,sms,Layla,40.0,80.5,48,False,negative,open
TKT000005,ORD000014,2025-06-11,where_is_my_order,social,Maya,11.4,48.2,48,False,negative,closed
TKT000006,ORD000018,2025-01-17,where_is_my_order,sms,Layla,16.8,24.0,48,False,negative,closed
TKT000007,ORD000056,2025-06-01,where_is_my_order,chat,Maya,35.2,40.9,48,False,positive,closed
TKT000008,ORD000060,2025-01-26,where_is_my_order,email,Sara,28.2,48.5,48,False,neutral,closed
TKT000009,ORD000064,2025-05-29,return_request,chat,Zehra,40.8,76.7,48,False,positive,closed
TKT000010,ORD000071,2025-02-15,product_question,email,Noor,24.2,45.4,48,False,neutral,pending
TKT000011,ORD000073,2025-06-18,where_is_my_order,email,Zehra,8.1,28.2,48,False,negative,closed
TKT000012,ORD000083,2025-06-09,where_is_my_order,social,Zehra,34.0,74.2,48,False,positive,closed
TKT000013,ORD000084,2025-02-09,cancel_order,chat,Sara,8.1,45.4,24,False,neutral,closed
TKT000014,ORD000089,2025-02-09,where_is_my_order,social,Maya,12.4,21.1,48,False,neutral,closed
TKT000015,ORD000107,2025-03-31,where_is_my_order,chat,Layla,9.5,42.8,48,False,negative,closed
TKT000016,ORD000114,2025-04-18,where_is_my_order,chat,Noor,38.7,70.5,48,False,neutral,closed
TKT000017,ORD000135,2025-04-24,return_request,chat,Zehra,16.4,50.6,48,False,positive,open
TKT000018,ORD000153,2025-02-06,return_request,chat,Maya,16.8,66.3,48,False,positive,closed
TKT000019,ORD000162,2025-06-27,where_is_my_order,email,Layla,11.7,27.3,48,False,neutral,closed
TKT000020,ORD000165,2025-04-23,where_is_my_order,chat,Aylin,29.4,59.9,48,False,positive,open
TKT000021,ORD000170,2025-06-28,product_question,chat,Zehra,33.5,82.3,48,False,neutral,closed
TKT000022,ORD000177,2025-03-27,damaged_item,chat,Aylin,16.0,47.4,24,False,negative,pending
TKT000023,ORD000185,2025-06-03,address_change,email,Sara,18.8,71.1,48,False,neutral,closed
TKT000024,ORD000202,2025-07-02,where_is_my_order,chat,Aylin,15.2,39.8,48,False,neutral,open
TKT000025,ORD000203,2025-04-03,where_is_my_order,email,Zehra,9.8,30.6,48,False,positive,closed
TKT000026,ORD000204,2025-01-31,damaged_item,sms,Layla,19.2,54.5,24,False,negative,closed
TKT000027,ORD000236,2025-06-10,where_is_my_order,chat,Aylin,28.7,54.5,48,False,neutral,closed
TKT000028,ORD000260,2025-04-27,address_change,email,Layla,17.9,40.0,48,False,neutral,open
TKT000029,ORD000261,2025-02-04,return_request,chat,Aylin,22.7,41.4,48,False,neutral,pending
TKT000030,ORD000271,2025-01-21,where_is_my_order,social,Zehra,16.2,18.2,48,False,negative,closed
TKT000031,ORD000278,2025-04-11,where_is_my_order,chat,Maya,36.5,65.5,48,False,neutral,closed
TKT000032,ORD000279,2025-06-15,damaged_item,email,Zehra,42.4,65.2,24,True,negative,closed
TKT000033,ORD000280,2025-06-17,return_request,sms,Noor,26.4,70.3,48,False,neutral,closed
TKT000034,ORD000282,2025-02-15,return_request,sms,Zehra,26.0,47.9,48,False,neutral,closed
TKT000035,ORD000300,2025-05-05,return_request,social,Layla,29.8,67.2,48,False,positive,closed
TKT000036,ORD000312,2025-03-30,where_is_my_order,email,Layla,20.9,43.7,48,False,neutral,closed
TKT000037,ORD000317,2025-03-25,where_is_my_order,email,Layla,23.5,54.3,48,False,positive,closed
TKT000038,ORD000318,2025-05-09,return_request,email,Noor,37.6,50.3,48,False,positive,pending
TKT000039,ORD000323,2025-03-14,return_request,chat,Zehra,12.8,26.6,48,False,neutral,closed
TKT000040,ORD000324,2025-04-14,where_is_my_order,email,Layla,14.2,39.7,48,False,neutral,closed
TKT000041,ORD000337,2025-01-21,where_is_my_order,email,Sara,29.9,62.6,48,False,negative,closed
TKT000042,ORD000343,2025-06-09,where_is_my_order,chat,Zehra,30.4,56.4,48,False,negative,closed
