call_id,customer_id,agent_use_case,intent,contained,escalated,customer_sentiment,minutes_saved,revenue_influenced
C001-0000,C001,support triage,technical issue,0,0,1.47,3,0
C001-0001,C001,support triage,pricing,1,0,3.82,12,0
C001-0002,C001,support triage,technical issue,0,0,2.55,0,0
C001-0003,C001,sales qualification,technical issue,1,0,4.56,5,500
C001-0004,C001,support triage,purchase intent,1,0,3.84,5,0
C001-0005,C001,support triage,cancel,1,0,4.03,4,0
C001-0006,C001,support triage,technical issue,1,0,3.99,11,0
C001-0007,C001,renewal reminder,technical issue,0,1,2.57,2,0
C001-0008,C001,appointment scheduling,reschedule,1,0,2.93,4,0
C001-0009,C001,appointment scheduling,purchase intent,1,0,4.6,10,0
C001-0010,C001,appointment scheduling,eligibility,1,0,2.68,9,0
C001-0011,C001,sales qualification,technical issue,0,0,3.27,0,0
C001-0012,C001,support triage,cancel,0,1,2.08,4,0
C001-0013,C001,renewal reminder,pricing,1,0,3.59,7,0
C001-0014,C001,renewal reminder,purchase intent,0,0,1.52,2,0
C001-0015,C001,renewal reminder,purchase intent,1,0,3.43,8,0
C001-0016,C001,support triage,pricing,0,1,1.74,3,0
C001-0017,C001,support triage,purchase intent,1,0,3.19,6,0
C001-0018,C001,renewal reminder,pricing,1,0,4.59,5,0
C001-0019,C001,renewal reminder,reschedule,1,0,3.17,9,0
C001-0020,C001,appointment scheduling,technical issue,0,1,2.77,1,0
C001-0021,C001,sales qualification,pricing,1,0,2.86,10,250
C001-0022,C001,sales qualification,eligibility,1,0,2.51,8,1000
C001-0023,C001,appointment scheduling,purchase intent,0,0,2.31,4,0
C001-0024,C001,renewal reminder,technical issue,1,0,3.45,9,0
C001-0025,C001,support triage,technical issue,1,0,4.86,5,0
C001-0026,C001,support triage,pricing,1,0,2.63,12,0
C001-0027,C001,sales qualification,pricing,1,0,4.78,4,1500
C001-0028,C001,sales qualification,cancel,0,0,2.67,4,0
C001-0029,C001,appointment scheduling,technical issue,1,0,2.78,10,0
C001-0030,C001,renewal reminder,pricing,1,0,2.71,8,0
C001-0031,C001,appointment scheduling,eligibility,1,0,4.16,3,0
C001-0032,C001,sales qualification,eligibility,0,1,1.69,0,0
C001-0033,C001,appointment scheduling,cancel,0,0,2.79,4,0
C001-0034,C001,appointment scheduling,eligibility,0,1,2.94,4,0
C001-0035,C001,appointment scheduling,reschedule,1,0,3.97,6,0
C001-0036,C001,renewal reminder,technical issue,0,0,1.8,2,0
C001-0037,C001,support triage,reschedule,0,1,2.34,4,0
C001-0038,C001,appointment scheduling,cancel,1,0,4.75,8,0
C001-0039,C001,support triage,reschedule,1,0,3.04,8,0
C001-0040,C001,sales qualification,pricing,1,0,4.86,10,1500
C001-0041,C001,appointment scheduling,pricing,0,0,3.07,3,0
C001-0042,C001,sales qualification,pricing,1,0,2.93,9,500
C001-0043,C001,renewal reminder,purchase intent,1,0,4.77,5,0
C001-0044,C001,sales qualification,technical issue,0,0,1.7,1,0
C001-0045,C001,renewal reminder,eligibility,1,0,3.34,11,0
C001-0046,C001,sales qualification,eligibility,1,0,4.42,5,0
C001-0047,C001,renewal reminder,reschedule,0,0,3.05,0,0
C001-0048,C001,appointment scheduling,eligibility,1,0,3.7,8,0
C001-0049,C001,appointment scheduling,pricing,1,0,4.5,8,0
C001-0050,C001,renewal reminder,eligibility,1,0,4.46,9,0
C001-0051,C001,sales qualification,technical issue,1,0,3.76,5,0
C001-0052,C001,support triage,technical issue,0,0,1.74,4,0
C001-0053,C001,support triage,eligibility,1,0,3.28,11,0
C001-0054,C001,renewal reminder,pricing,0,0,3.17,1,0
C001-0055,C001,sales qualification,technical issue,1,0,4.35,11,1500
C001-0056,C001,support triage,eligibility,0,0,2.29,4,0
C001-0057,C001,sales qualification,technical issue,0,1,2.42,4,0
C001-0058,C001,sales qualification,reschedule,0,1,3.25,3,0
C001-0059,C001,sales qualification,pricing,1,0,3.44,6,500
C001-0060,C001,renewal reminder,pricing,1,0,4.11,5,0
C001-0061,C001,appointment scheduling,technical issue,1,0,4.62,6,0
C001-0062,C001,support triage,purchase intent,1,0,3.67,6,0
C001-0063,C001,sales qualification,reschedule,0,1,2.08,2,0
C001-0064,C001,appointment scheduling,cancel,1,0,3.38,11,0
C001-0065,C001,renewal reminder,cancel,1,0,2.54,11,0
C001-0066,C001,appointment scheduling,reschedule,1,0,2.65,4,0
C001-0067,C001,support triage,reschedule,1,0,2.6,7,0
C001-0068,C001,sales qualification,eligibility,0,1,2.21,4,0
C001-0069,C001,renewal reminder,purchase intent,0,0,1.96,1,0
C001-0070,C001,renewal reminder,purchase intent,0,1,3.28,0,0
C001-0071,C001,appointment scheduling,pricing,1,0,4.55,7,0
C001-0072,C001,support triage,eligibility,1,0,3.31,9,0
C001-0073,C001,appointment scheduling,purchase intent,1,0,2.6,6,0
C001-0074,C001,support triage,reschedule,0,1,1.5,2,0
C001-0075,C001,appointment scheduling,technical issue,1,0,2.99,11,0
C001-0076,C001,sales qualification,pricing,1,0,4.43,3,500
C001-0077,C001,support triage,reschedule,0,0,2.43,3,0
