contact_id,age,job,marital,education,balance,housing,loan,contact,day,month,call_duration_seconds,campaign_contacts,days_since_previous_contact,previous_contacts,previous_outcome,customer_segment,converted,converted_flag
BM00001,58,management,married,tertiary,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,management / tertiary,no,0
BM00002,44,technician,single,secondary,29,yes,no,unknown,5,may,151,1,-1,0,unknown,technician / secondary,no,0
BM00003,33,entrepreneur,married,secondary,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,entrepreneur / secondary,no,0
BM00004,47,blue-collar,married,unknown,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,blue-collar / unknown,no,0
BM00005,33,unknown,single,unknown,1,no,no,unknown,5,may,198,1,-1,0,unknown,unknown / unknown,no,0
BM00006,35,management,married,tertiary,231,yes,no,unknown,5,may,139,1,-1,0,unknown,management / tertiary,no,0
BM00007,28,management,single,tertiary,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,management / tertiary,no,0
BM00008,42,entrepreneur,divorced,tertiary,2,yes,no,unknown,5,may,380,1,-1,0,unknown,entrepreneur / tertiary,no,0
BM00009,58,retired,married,primary,121,yes,no,unknown,5,may,50,1,-1,0,unknown,retired / primary,no,0
BM00010,43,technician,single,secondary,593,yes,no,unknown,5,may,55,1,-1,0,unknown,technician / secondary,no,0
BM00011,41,admin.,divorced,secondary,270,yes,no,unknown,5,may,222,1,-1,0,unknown,admin. / secondary,no,0
BM00012,29,admin.,single,secondary,390,yes,no,unknown,5,may,137,1,-1,0,unknown,admin. / secondary,no,0
BM00013,53,technician,married,secondary,6,yes,no,unknown,5,may,517,1,-1,0,unknown,technician / secondary,no,0
BM00014,58,technician,married,unknown,71,yes,no,unknown,5,may,71,1,-1,0,unknown,technician / unknown,no,0
BM00015,57,services,married,secondary,162,yes,no,unknown,5,may,174,1,-1,0,unknown,services / secondary,no,0
BM00016,51,retired,married,primary,229,yes,no,unknown,5,may,353,1,-1,0,unknown,retired / primary,no,0
BM00017,45,admin.,single,unknown,13,yes,no,unknown,5,may,98,1,-1,0,unknown,admin. / unknown,no,0
BM00018,57,blue-collar,married,primary,52,yes,no,unknown,5,may,38,1,-1,0,unknown,blue-collar / primary,no,0
BM00019,60,retired,married,primary,60,yes,no,unknown,5,may,219,1,-1,0,unknown,retired / primary,no,0
BM00020,33,services,married,secondary,0,yes,no,unknown,5,may,54,1,-1,0,unknown,services / secondary,no,0
BM00021,28,blue-collar,married,secondary,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,blue-collar / secondary,no,0
BM00022,56,management,married,tertiary,779,yes,no,unknown,5,may,164,1,-1,0,unknown,management / tertiary,no,0
BM00023,32,blue-collar,single,primary,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,blue-collar / primary,no,0
BM00024,25,services,married,secondary,50,yes,no,unknown,5,may,342,1,-1,0,unknown,services / secondary,no,0
BM00025,40,retired,married,primary,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,retired / primary,no,0
BM00026,44,admin.,married,secondary,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,admin. / secondary,no,0
BM00027,39,management,single,tertiary,255,yes,no,unknown,5,may,296,1,-1,0,unknown,management / tertiary,no,0
BM00028,52,entrepreneur,married,secondary,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,entrepreneur / secondary,no,0
BM00029,46,management,single,secondary,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,management / secondary,no,0
BM00030,36,technician,single,secondary,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,technician / secondary,no,0
BM00031,57,technician,married,secondary,839,no,yes,unknown,5,may,225,1,-1,0,unknown,technician / secondary,no,0
BM00032,49,management,married,tertiary,378,yes,no,unknown,5,may,230,1,-1,0,unknown,management / tertiary,no,0
BM00033,60,admin.,married,secondary,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,admin. / secondary,no,0
BM00034,59,blue-collar,married,secondary,0,yes,no,unknown,5,may,226,1,-1,0,unknown,blue-collar / secondary,no,0
BM00035,51,management,married,tertiary,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,management / tertiary,no,0
BM00036,57,technician,divorced,secondary,63,yes,no,unknown,5,may,242,1,-1,0,unknown,technician / secondary,no,0
BM00037,25,blue-collar,married,secondary,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,blue-collar / secondary,no,0
BM00038,53,technician,married,secondary,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,technician / secondary,no,0
BM00039,36,admin.,divorced,secondary,506,yes,no,unknown,5,may,577,1,-1,0,unknown,admin. / secondary,no,0
BM00040,37,admin.,single,secondary,0,yes,no,unknown,5,may,137,1,-1,0,unknown,admin. / secondary,no,0
BM00041,44,services,divorced,secondary,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,services / secondary,no,0
BM00042,50,management,married,secondary,49,yes,no,unknown,5,may,180,2,-1,0,unknown,management / secondary,no,0
BM00043,60,blue-collar,married,unknown,104,yes,no,unknown,5,may,22,1,-1,0,unknown,blue-collar / unknown,no,0
BM00044,54,retired,married,secondary,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,retired / secondary,no,0
BM00045,58,retired,married,unknown,96,yes,no,unknown,5,may,616,1,-1,0,unknown,retired / unknown,no,0
BM00046,36,admin.,single,primary,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,admin. / primary,no,0
BM00047,58,self-employed,married,tertiary,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,self-employed / tertiary,no,0
BM00048,44,technician,married,secondary,0,yes,no,unknown,5,may,225,2,-1,0,unknown,technician / secondary,no,0
BM00049,55,technician,divorced,secondary,0,no,no,unknown,5,may,160,1,-1,0,unknown,technician / secondary,no,0
BM00050,29,management,single,tertiary,0,yes,no,unknown,5,may,363,1,-1,0,unknown,management / tertiary,no,0
BM00051,54,blue-collar,married,secondary,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,blue-collar / secondary,no,0
BM00052,48,management,divorced,tertiary,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,management / tertiary,no,0
BM00053,32,management,married,tertiary,0,yes,no,unknown,5,may,179,1,-1,0,unknown,management / tertiary,no,0
BM00054,42,admin.,single,secondary,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,admin. / secondary,no,0
BM00055,24,technician,single,secondary,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,technician / secondary,no,0
BM00056,38,entrepreneur,single,tertiary,243,no,yes,unknown,5,may,174,1,-1,0,unknown,entrepreneur / tertiary,no,0
BM00057,38,management,single,tertiary,424,yes,no,unknown,5,may,104,1,-1,0,unknown,management / tertiary,no,0
BM00058,47,blue-collar,married,unknown,306,yes,no,unknown,5,may,13,1,-1,0,unknown,blue-collar / unknown,no,0
BM00059,40,blue-collar,single,unknown,24,yes,no,unknown,5,may,185,1,-1,0,unknown,blue-collar / unknown,no,0
BM00060,46,services,married,primary,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,services / primary,no,0
BM00061,32,admin.,married,tertiary,0,yes,no,unknown,5,may,138,1,-1,0,unknown,admin. / tertiary,no,0
BM00062,53,technician,divorced,secondary,989,yes,no,unknown,5,may,812,1,-1,0,unknown,technician / secondary,no,0
BM00063,57,blue-collar,married,primary,249,yes,no,unknown,5,may,164,1,-1,0,unknown,blue-collar / primary,no,0
BM00064,33,services,married,secondary,790,yes,no,unknown,5,may,391,1,-1,0,unknown,services / secondary,no,0
BM00065,49,blue-collar,married,unknown,154,yes,no,unknown,5,may,357,1,-1,0,unknown,blue-collar / unknown,no,0
BM00066,51,management,married,tertiary,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,management / tertiary,no,0
BM00067,60,retired,married,tertiary,100,no,no,unknown,5,may,528,1,-1,0,unknown,retired / tertiary,no,0
BM00068,59,management,divorced,tertiary,59,yes,no,unknown,5,may,273,1,-1,0,unknown,management / tertiary,no,0
