member_id,event_type,days_ago
M0001,app_session,4
M0001,app_session,3
M0001,app_session,11
M0001,app_session,27
M0001,app_session,29
M0001,app_session,64
M0001,app_session,77
M0001,app_session,3
M0001,app_session,71
M0001,app_session,25
M0001,app_session,83
M0001,app_session,89
M0001,benefit_view,28
M0001,benefit_view,57
M0001,benefit_view,75
M0001,benefit_view,35
M0002,app_session,58
M0002,app_session,68
M0002,app_session,15
M0002,app_session,48
M0002,app_session,10
M0002,app_session,70
M0002,app_session,37
M0002,app_session,80
M0002,app_session,79
M0002,benefit_view,24
M0002,benefit_view,90
M0003,app_session,9
M0003,app_session,77
M0003,app_session,81
M0003,app_session,21
M0003,benefit_view,31
M0003,benefit_view,20
M0003,benefit_view,59
M0003,benefit_view,48
M0003,appointment,88
M0003,appointment,71
M0004,app_session,27
M0004,app_session,83
M0004,app_session,63
M0004,app_session,50
M0004,app_session,82
M0004,app_session,58
M0004,app_session,18
M0004,app_session,33
M0004,app_session,17
M0004,app_session,31
M0004,app_session,71
M0004,app_session,68
M0004,benefit_view,74
M0004,benefit_view,54
M0004,appointment,46
M0005,app_session,32
M0005,app_session,70
M0005,app_session,1
M0005,app_session,87
M0005,app_session,14
M0005,app_session,87
M0005,app_session,68
M0005,app_session,34
M0005,app_session,82
M0005,app_session,43
M0005,app_session,14
M0005,app_session,37
M0005,app_session,55
M0005,app_session,20
M0005,benefit_view,33
M0005,benefit_view,64
M0005,benefit_view,22
M0005,support_ticket,81
M0006,app_session,14
M0006,app_session,46
M0006,app_session,39
M0006,app_session,30
M0006,app_session,7
M0006,app_session,30
M0006,app_session,72
M0006,app_session,10
M0006,app_session,10
M0006,app_session,62
M0006,app_session,8
M0006,app_session,68
M0006,app_session,16
M0006,benefit_view,60
M0006,support_ticket,77
M0006,support_ticket,54
M0006,support_ticket,27
M0007,app_session,29
M0007,app_session,75
M0007,app_session,28
M0007,app_session,0
M0007,app_session,9
M0007,app_session,90
M0007,benefit_view,29
M0007,benefit_view,8
M0007,benefit_view,4
M0007,benefit_view,42
M0007,benefit_view,9
M0008,app_session,12
M0008,app_session,84
M0008,app_session,55
M0008,app_session,45
M0008,benefit_view,59
M0008,benefit_view,6
M0008,benefit_view,86
M0008,appointment,12
M0008,appointment,7
M0008,support_ticket,43
M0009,app_session,6
M0009,app_session,83
M0009,app_session,69
M0009,app_session,1
M0009,app_session,11
M0009,app_session,30
M0009,app_session,21
M0009,app_session,52
M0009,app_session,62
M0009,app_session,61
M0009,app_session,27
M0009,benefit_view,21
M0009,benefit_view,48
M0009,benefit_view,0
M0009,appointment,58
M0010,app_session,64
M0010,app_session,67
M0010,app_session,20
M0010,app_session,7
M0010,app_session,65
M0010,app_session,10
M0010,app_session,23
M0010,app_session,8
M0010,app_session,76
M0010,app_session,8
M0010,app_session,86
M0010,benefit_view,15
M0010,support_ticket,5
M0011,benefit_view,9
M0011,benefit_view,1
M0011,benefit_view,58
M0011,appointment,12
M0011,appointment,9
M0011,support_ticket,64
M0012,app_session,83
M0012,app_session,67
M0012,app_session,1
M0012,app_session,85
M0012,app_session,70
M0012,app_session,38
M0012,app_session,84
M0013,app_session,81
M0013,app_session,54
M0013,app_session,35
M0013,app_session,5
M0013,app_session,0
M0013,app_session,42
M0013,app_session,16
M0013,app_session,81
M0013,benefit_view,56
M0013,benefit_view,70
M0013,appointment,71
M0013,support_ticket,9
M0013,support_ticket,88
M0014,app_session,26
M0014,app_session,87
M0014,app_session,31
M0014,app_session,85
M0014,app_session,13
M0014,benefit_view,52
M0014,benefit_view,79
M0015,app_session,48
M0015,app_session,4
M0015,app_session,60
M0015,benefit_view,58
M0015,appointment,29
M0015,support_ticket,84
M0016,app_session,3
M0016,app_session,14
M0016,app_session,33
M0016,app_session,22
M0016,app_session,74
M0016,app_session,33
M0016,app_session,4
M0016,app_session,13
M0016,app_session,76
M0016,app_session,55
M0016,app_session,44
M0016,app_session,40
M0016,app_session,55
M0016,app_session,77
M0016,app_session,65
M0016,app_session,14
M0016,app_session,49
M0016,app_session,73
M0016,app_session,24
M0016,benefit_view,90
M0016,benefit_view,55
M0016,appointment,68
M0016,appointment,87
M0017,app_session,41
M0017,app_session,51
M0017,app_session,89
M0017,app_session,37
M0017,app_session,70
M0017,app_session,16
M0017,benefit_view,85
M0017,appointment,22
M0017,appointment,78
M0017,support_ticket,51
M0018,app_session,60
M0018,app_session,21
M0018,app_session,84
M0018,app_session,10
M0018,app_session,36
M0018,benefit_view,81
M0018,benefit_view,79
M0018,benefit_view,42
M0018,benefit_view,11
M0018,appointment,39
M0018,appointment,28
M0018,support_ticket,3
M0019,app_session,83
M0019,app_session,88
M0019,app_session,0
M0019,app_session,13
M0019,app_session,54
M0019,app_session,28
M0019,app_session,22
M0019,app_session,89
M0019,app_session,66
M0019,benefit_view,71
M0019,benefit_view,31
M0019,benefit_view,15
M0019,support_ticket,67
M0020,app_session,60
M0020,app_session,57
M0020,app_session,33
M0020,benefit_view,35
M0020,appointment,80
M0020,support_ticket,56
M0020,support_ticket,9
M0021,app_session,69
M0021,app_session,59
M0021,app_session,53
M0021,app_session,7
M0021,app_session,26
M0021,app_session,53
M0021,app_session,49
M0021,app_session,74
M0021,app_session,89
M0021,app_session,2
M0021,benefit_view,61
M0021,benefit_view,0
M0021,benefit_view,45
M0021,benefit_view,38
M0021,appointment,68
M0022,app_session,16
M0022,app_session,79
M0022,app_session,68
M0022,app_session,3
M0022,app_session,50
M0022,app_session,75
M0022,app_session,72
M0022,benefit_view,10
M0022,benefit_view,82
M0022,benefit_view,54
M0022,benefit_view,17
M0022,benefit_view,59
M0023,app_session,28
M0023,app_session,83
M0023,app_session,8
M0023,app_session,83
M0023,app_session,5
M0023,app_session,3
M0023,app_session,31
M0023,app_session,25
M0023,app_session,2
M0023,app_session,79
M0023,app_session,19
M0023,benefit_view,60
M0024,app_session,74
M0024,app_session,3
M0024,app_session,39
M0024,app_session,73
M0024,app_session,86
M0024,app_session,48
M0024,benefit_view,25
M0024,benefit_view,9
M0024,benefit_view,75
M0024,appointment,31
M0024,appointment,13
M0024,support_ticket,87
M0024,support_ticket,76
M0024,support_ticket,15
M0025,app_session,58
M0025,app_session,90
M0025,app_session,19
M0025,app_session,55
M0025,benefit_view,66
M0025,appointment,78
M0026,app_session,72
M0026,app_session,78
M0026,app_session,85
M0026,app_session,48
M0026,app_session,43
M0026,app_session,3
M0026,app_session,63
M0026,app_session,41
M0026,app_session,23
M0026,app_session,62
M0026,app_session,27
M0026,app_session,45
M0026,app_session,33
M0026,benefit_view,76
M0026,benefit_view,89
M0026,appointment,1
M0026,appointment,66
M0026,support_ticket,30
M0026,support_ticket,52
M0027,benefit_view,44
M0027,benefit_view,54
M0027,benefit_view,70
M0027,benefit_view,42
M0027,appointment,58
M0027,appointment,34
M0028,app_session,75
M0028,app_session,67
M0028,app_session,76
M0028,app_session,36
M0028,app_session,12
M0028,app_session,24
M0028,app_session,37
M0028,app_session,29
M0028,app_session,46
M0028,benefit_view,1
M0028,appointment,16
M0028,appointment,35
M0029,app_session,61
M0029,app_session,14
M0029,app_session,8
M0029,app_session,51
M0029,app_session,62
M0029,app_session,9
M0029,app_session,73
M0029,app_session,80
M0029,app_session,87
M0029,app_session,6
M0029,app_session,19
M0029,app_session,19
M0029,benefit_view,10
M0029,benefit_view,31
M0029,benefit_view,15
M0029,benefit_view,71
M0029,appointment,76
M0029,appointment,79
M0030,app_session,26
M0030,app_session,80
M0030,app_session,27
M0030,app_session,33
M0030,benefit_view,20
M0030,benefit_view,30
M0030,benefit_view,22
M0030,benefit_view,70
M0030,benefit_view,9
M0030,support_ticket,88
M0030,support_ticket,76
M0030,support_ticket,60
M0030,support_ticket,37
M0031,app_session,14
M0031,app_session,69
M0031,app_session,28
M0031,app_session,82
M0031,app_session,19
M0031,app_session,34
M0031,app_session,18
M0031,app_session,9
M0031,app_session,7
M0031,app_session,21
M0031,benefit_view,72
M0031,benefit_view,36
M0031,support_ticket,38
M0031,support_ticket,89
M0031,support_ticket,51
M0032,app_session,75
M0032,app_session,2
M0032,app_session,86
M0032,app_session,34
M0032,app_session,73
M0032,app_session,5
M0032,app_session,22
M0032,benefit_view,83
M0032,benefit_view,56
M0032,benefit_view,35
M0032,appointment,55
M0032,appointment,81
M0033,app_session,58
M0033,app_session,11
M0033,app_session,40
M0033,app_session,32
M0033,app_session,41
M0033,app_session,14
M0033,app_session,51
M0033,app_session,65
M0033,app_session,0
M0033,app_session,84
M0033,app_session,69
M0033,benefit_view,6
M0033,benefit_view,24
M0033,benefit_view,66
M0033,appointment,63
M0033,appointment,80
M0033,support_ticket,26
M0034,app_session,39
M0034,app_session,70
M0034,app_session,1
M0034,app_session,70
M0034,app_session,52
M0034,app_session,11
M0034,app_session,28
M0034,app_session,14
M0034,app_session,59
M0034,app_session,15
M0034,benefit_view,63
M0034,benefit_view,37
M0034,benefit_view,65
M0034,benefit_view,90
M0034,benefit_view,34
M0034,appointment,60
M0035,appointment,75
M0036,app_session,30
M0036,app_session,73
M0036,app_session,49
M0036,app_session,29
M0036,app_session,52
M0036,app_session,5
M0036,app_session,40
M0036,app_session,60
M0036,benefit_view,49
M0036,benefit_view,84
M0036,benefit_view,83
M0036,benefit_view,19
M0036,benefit_view,63
M0036,support_ticket,42
M0037,app_session,88
M0037,app_session,50
M0037,app_session,83
M0037,app_session,10
M0037,app_session,42
M0037,app_session,86
M0037,app_session,68
M0037,app_session,48
M0037,app_session,40
M0037,app_session,80
M0037,app_session,62
M0037,benefit_view,79
M0037,benefit_view,8
M0037,benefit_view,30
M0037,benefit_view,80
M0037,appointment,29
M0037,support_ticket,55
M0038,app_session,31
M0038,app_session,67
M0038,app_session,52
M0038,app_session,72
M0038,app_session,87
M0038,app_session,23
M0038,app_session,21
M0038,app_session,22
M0038,app_session,10
M0038,benefit_view,79
M0038,benefit_view,87
M0038,benefit_view,30
M0038,benefit_view,63
M0039,app_session,81
M0039,app_session,54
M0039,app_session,88
M0039,app_session,32
M0039,app_session,58
M0039,app_session,38
M0039,app_session,25
M0039,app_session,49
M0039,app_session,61
M0039,app_session,13
M0039,app_session,30
M0039,app_session,48
M0039,app_session,73
M0039,benefit_view,37
M0039,benefit_view,89
M0039,support_ticket,35
M0040,app_session,81
M0040,app_session,24
M0040,app_session,79
M0040,app_session,32
M0040,app_session,86
M0040,benefit_view,87
M0040,benefit_view,17
M0040,benefit_view,80
M0040,benefit_view,12
M0040,benefit_view,80
M0040,support_ticket,4
M0040,support_ticket,74
M0041,app_session,32
M0041,app_session,61
M0041,app_session,37
M0041,app_session,43
M0041,app_session,14
M0041,app_session,59
M0041,app_session,9
M0041,app_session,18
M0041,benefit_view,86
M0041,appointment,46
M0041,appointment,11
M0041,support_ticket,33
M0042,app_session,60
M0042,app_session,3
M0042,app_session,79
M0042,app_session,71
M0042,app_session,41
M0042,benefit_view,82
M0042,benefit_view,8
M0042,benefit_view,81
M0042,benefit_view,59
M0042,appointment,83
M0043,app_session,53
M0043,app_session,75
M0043,app_session,19
M0043,app_session,53
M0043,app_session,83
M0043,app_session,12
M0043,benefit_view,52
M0043,benefit_view,35
M0043,benefit_view,4
M0043,appointment,27
M0044,app_session,11
M0044,app_session,84
M0044,app_session,27
M0044,app_session,82
M0044,app_session,81
M0044,app_session,76
M0044,app_session,2
M0044,app_session,6
M0044,app_session,42
M0044,benefit_view,72
M0044,support_ticket,75
M0044,support_ticket,27
M0045,app_session,1
M0045,app_session,45
M0045,app_session,30
M0045,app_session,75
M0045,app_session,41
M0045,support_ticket,53
M0045,support_ticket,67
M0045,support_ticket,14
M0045,support_ticket,8
M0046,app_session,38
M0046,app_session,58
M0046,app_session,82
M0046,app_session,3
M0046,app_session,7
M0046,app_session,61
M0046,benefit_view,87
M0046,benefit_view,13
M0046,benefit_view,62
M0046,appointment,9
M0047,app_session,89
M0047,app_session,14
M0047,app_session,83
M0047,app_session,83
M0047,benefit_view,27
M0047,benefit_view,55
M0047,benefit_view,57
M0047,benefit_view,29
M0047,appointment,58
M0048,app_session,55
M0048,app_session,12
M0048,app_session,47
M0048,app_session,16
M0048,benefit_view,75
M0048,benefit_view,71
M0048,benefit_view,71
M0048,benefit_view,42
M0049,app_session,71
M0049,app_session,47
M0049,app_session,14
M0049,app_session,35
M0049,app_session,73
M0049,app_session,28
M0049,app_session,54
M0049,app_session,71
M0049,app_session,79
M0049,app_session,78
M0049,app_session,86
M0049,app_session,82
M0049,app_session,71
M0049,app_session,3
M0049,app_session,77
M0049,benefit_view,34
M0049,benefit_view,3
M0049,benefit_view,23
M0049,benefit_view,34
M0049,benefit_view,89
M0049,appointment,44
M0050,app_session,39
M0050,app_session,41
M0050,app_session,72
M0050,app_session,76
M0050,app_session,10
M0050,app_session,6
M0050,app_session,19
M0050,benefit_view,6
M0051,app_session,39
M0051,app_session,5
M0051,app_session,28
M0051,app_session,50
M0051,app_session,76
M0051,app_session,7
M0051,app_session,0
M0051,benefit_view,27
M0051,appointment,37
M0052,app_session,50
M0052,app_session,5
M0052,app_session,55
M0052,app_session,2
M0052,app_session,58
M0052,app_session,9
M0052,app_session,40
M0052,app_session,73
M0052,app_session,54
M0052,app_session,73
M0052,app_session,51
M0052,app_session,90
M0052,app_session,81
M0052,app_session,53
M0052,app_session,37
M0052,app_session,14
M0052,app_session,51
