member_id,channel,message_type,responded
M0001,phone_call,benefits,1
M0002,phone_call,renewal,0
M0003,phone_call,renewal,0
M0004,app_notification,support,1
M0005,app_notification,appointment,1
M0006,app_notification,appointment,0
M0007,phone_call,appointment,0
M0008,sms,appointment,1
M0009,app_notification,support,1
M0010,app_notification,renewal,0
M0011,phone_call,appointment,0
M0012,app_notification,appointment,1
M0013,sms,renewal,0
M0014,sms,support,1
M0015,sms,support,1
M0016,app_notification,appointment,1
M0017,app_notification,renewal,1
M0018,sms,appointment,0
M0019,app_notification,benefits,0
M0020,app_notification,benefits,1
M0021,app_notification,appointment,0
M0022,phone_call,appointment,0
M0023,phone_call,benefits,0
M0024,app_notification,renewal,1
M0025,phone_call,support,0
M0026,phone_call,appointment,0
M0027,sms,renewal,0
M0028,app_notification,benefits,0
M0029,phone_call,support,0
M0030,sms,appointment,1
M0031,phone_call,support,0
M0032,phone_call,benefits,0
M0033,phone_call,appointment,0
M0034,app_notification,appointment,1
M0035,phone_call,appointment,0
M0036,sms,support,1
M0037,sms,renewal,0
M0038,app_notification,benefits,0
M0039,sms,renewal,0
M0040,phone_call,appointment,1
M0041,app_notification,renewal,0
M0042,sms,renewal,0
M0043,sms,benefits,1
M0044,sms,benefits,0
M0045,phone_call,support,0
M0046,app_notification,appointment,1
M0047,app_notification,renewal,1
M0048,app_notification,support,0
M0049,sms,support,1
M0050,app_notification,support,0
M0051,sms,support,0
M0052,phone_call,renewal,1
M0053,sms,appointment,0
M0054,app_notification,renewal,1
M0055,phone_call,benefits,0
M0056,sms,benefits,0
M0057,sms,renewal,0
M0058,app_notification,support,0
M0059,phone_call,benefits,1
M0060,app_notification,support,1
M0061,app_notification,benefits,1
M0062,phone_call,appointment,0
M0063,phone_call,benefits,0
M0064,phone_call,support,1
M0065,app_notification,benefits,1
M0066,phone_call,renewal,0
M0067,phone_call,renewal,1
M0068,phone_call,appointment,0
M0069,phone_call,appointment,0
M0070,sms,benefits,0
M0071,sms,benefits,1
M0072,phone_call,benefits,0
M0073,phone_call,benefits,0
M0074,phone_call,appointment,0
M0075,phone_call,benefits,0
M0076,app_notification,support,1
M0077,app_notification,appointment,0
M0078,sms,renewal,0
M0079,app_notification,support,0
M0080,sms,support,0
M0081,phone_call,benefits,0
M0082,phone_call,renewal,0
M0083,app_notification,support,1
M0084,phone_call,appointment,0
M0085,app_notification,appointment,0
M0086,app_notification,support,1
M0087,sms,benefits,0
M0088,sms,renewal,0
M0089,app_notification,support,1
M0090,phone_call,appointment,0
M0091,phone_call,support,1
M0092,sms,benefits,0
M0093,sms,appointment,0
M0094,sms,renewal,0
M0095,phone_call,benefits,0
M0096,phone_call,support,0
M0097,phone_call,appointment,0
M0098,sms,support,1
M0099,phone_call,appointment,0
M0100,sms,support,0
