year,host,winner,runner_up,winner_region,runner_up_region
1930,Uruguay,Uruguay,Argentina,South America,South America
1934,Italy,Italy,Czechoslovakia,Europe,Europe
1938,France,Italy,Hungary,Europe,Europe
1950,Brazil,Uruguay,Brazil,South America,South America
1954,Switzerland,Germany,Hungary,Europe,Europe
1958,Sweden,Brazil,Sweden,South America,Europe
1962,Chile,Brazil,Czechoslovakia,South America,Europe
1966,England,England,Germany,Europe,Europe
1970,Mexico,Brazil,Italy,South America,Europe
1974,Germany,Germany,Netherlands,Europe,Europe
1978,Argentina,Argentina,Netherlands,South America,Europe
1982,Spain,Italy,Germany,Europe,Europe
1986,Mexico,Argentina,Germany,South America,Europe
1990,Italy,Germany,Argentina,Europe,South America
1994,United States,Brazil,Italy,South America,Europe
1998,France,France,Brazil,Europe,South America
2002,South Korea/Japan,Brazil,Germany,South America,Europe
2006,Germany,Italy,France,Europe,Europe
2010,South Africa,Spain,Netherlands,Europe,Europe
2014,Brazil,Germany,Argentina,Europe,South America
2018,Russia,France,Croatia,Europe,Europe
2022,Qatar,Argentina,France,South America,Europe
